country,sessions
Australia,689
United States,71
China,42
India,28
Singapore,28
Thailand,16
Mexico,14
New Zealand,13
United Kingdom,11
Germany,10
Japan,10
Finland,8
France,8
Belgium,6
Indonesia,6
Netherlands,6
Brazil,5
Austria,4
Philippines,4
Vietnam,4
Kenya,3
(not set),2
Chile,2
Iraq,2
Ireland,2
Lithuania,2
Norway,2
Oman,2
United Arab Emirates,2
Argentina,1
Cambodia,1
Colombia,1
Hong Kong,1
Iran,1
Italy,1
Latvia,1
Malaysia,1
Myanmar (Burma),1
Nigeria,1
Peru,1
Romania,1
Serbia,1
South Korea,1
Spain,1
Sweden,1
Switzerland,1
Taiwan,1
Uzbekistan,1
