sessionSourceMedium,sessions
(direct) / (none),500
google / organic,325
BenchmarkEmail / email,53
bing / organic,41
(not set),13
l.instagram.com / referral,13
email / email-signature,11
m.facebook.com / referral,10
duckduckgo / organic,9
au.search.yahoo.com / referral,6
yrya6ftzmg.wpdns.site / referral,6
app.clickup.com / referral,4
ig / social,4
news_article / (not set),4
chatgpt.com / (not set),2
mail.google.com / referral,2
adhesivetapes.com.au / referral,1
chatgpt.com / referral,1
ecosia.org / organic,1
gateway.zscalertwo.net / referral,1
linkedin.com / referral,1
lm.facebook.com / referral,1
wholesaletapes.com.au / referral,1
